412.595    1   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   27   33   15   35   23   49   22   48   46   7   34   45   14   10   9   42   21   39   19   29   30   8   20   38   32   40   17   13   25   16   43   18   24   4 
413.305    1   35   24   18   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   27   33   15   23   49   22   48   46   7   21   42   9   10   14   45   34   39   19   29   30   8   20   38   32   40   17   13   16   25   43   4 
404.856    1   35   3   44   12   50   31   26   5   11   2   47   37   28   6   41   36   27   33   15   23   49   22   48   46   7   21   42   9   10   14   45   34   39   19   29   30   8   20   38   32   40   17   13   16   25   43   18   24   4 
402.325    1   35   24   3   44   12   50   31   26   5   11   2   47   37   28   6   41   36   27   33   15   23   49   22   48   46   7   21   42   9   10   14   45   34   39   19   29   30   8   20   38   32   40   17   13   25   16   43   18   4 
403.126    1   35   24   3   44   12   50   31   26   5   11   2   47   37   28   6   41   36   27   33   15   23   49   22   48   46   7   21   42   9   10   14   17   40   32   38   20   8   30   19   29   39   34   45   13   25   16   43   18   4 
390.558    1   18   24   40   32   38   8   20   30   29   19   39   34   45   35   17   14   42   27   33   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   15   23   49   22   48   46   7   21   9   10   13   25   16   43   4 
394.852    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   15   23   49   22   48   46   7   21   9   10   13   25   16   43   4 
394.852    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   15   23   49   22   48   46   7   21   9   10   13   25   16   43   4 
394.499    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   31   26   5   11   2   3   44   12   47   37   28   6   41   43   36   15   23   49   22   48   46   7   21   9   10   13   25   16   4 
394.852    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   31   26   5   11   2   3   44   12   47   37   28   6   41   36   15   23   49   22   48   46   7   21   9   10   13   25   16   43   4 
392.661    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   16   50   3   31   44   12   47   26   5   11   2   37   28   6   41   36   27   33   15   23   49   22   48   46   7   21   9   10   13   25   43   4 
368.286    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   41   6   28   37   47   2   11   5   26   12   44   3   31   36   15   23   49   22   48   46   7   21   9   10   13   25   16   43   4 
369.222    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   31   3   44   12   26   5   11   2   47   37   28   6   41   36   15   23   49   22   48   46   7   21   9   10   13   25   16   43   4 
369.222    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   31   3   44   12   26   5   11   2   47   37   28   6   41   36   15   23   49   22   48   46   7   21   9   10   13   25   16   43   4 
369.222    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   31   3   44   12   26   5   11   2   47   37   28   6   41   36   15   23   49   22   48   46   7   21   9   10   13   25   16   43   4 
365.812    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   31   3   44   12   26   5   11   2   47   37   28   6   41   36   16   15   23   49   22   48   21   7   46   9   10   13   25   43   4 
369.222    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   31   3   44   12   26   5   11   2   47   37   28   6   41   36   15   23   49   22   48   46   7   21   9   10   13   25   16   43   4 
363.19    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   31   3   44   12   26   5   11   2   47   37   28   6   41   16   25   13   10   9   21   7   46   48   22   49   23   15   36   43   4 
366.641    1   18   24   35   22   49   23   15   36   41   6   28   37   47   2   11   5   26   12   44   3   31   50   33   27   42   14   17   40   32   38   8   20   30   29   19   39   34   45   48   46   7   21   9   10   13   25   16   43   4 
366.248    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   6   28   37   47   2   11   5   26   12   44   3   31   50   33   41   36   15   23   49   22   48   46   7   21   9   10   13   25   16   43   4 
363.19    1   18   24   35   45   34   39   19   29   30   20   8   38   32   40   17   14   42   27   33   50   31   3   44   12   26   5   11   2   47   37   28   6   41   16   25   13   10   9   21   7   46   48   22   49   23   15   36   43   4 
360.163    1   18   24   35   46   48   22   49   23   15   36   41   6   28   37   47   2   11   5   26   12   44   3   31   50   33   27   42   14   17   40   32   38   8   20   30   29   19   39   34   45   7   21   9   10   13   25   16   43   4 
